isbn,product_name,asin,author,availability,best_sellers_rank,customer_reviews,description,edition,features,isbn_10,isbn_13,item_weight,language,number_of_reviews,part_of_series,price,print_length,product_url,publication_date,publisher,rating,reading_age,length,width,height,error_message,scrape_status
9789881555724,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
9789888155934,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
9780545017183,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
9780439049986,Captain Underpants and the Perilous Plot of Professor Poopypants: Color Edition (Captain Underpants #4): From the Creator of Dog Man,,Dav Pilkey,,"#12,668 in Books (See Top 100 in Books)   #32 in Children's Superhero Science Fiction  #429 in Children's Friendship Books  #549 in Children's Action & Adventure Books (Books)",4.8,Professor Pippy P. Poopypants takes over science class at Jerome Horwitz Elementary in the fourth book in this #1,Color,,1338864327,9781338864328,1047.8,English,5990,,10.,160,https://www.amazon.com/Captain-Underpants-Perilous-Professor-Poopypants/dp/1338864327/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.nx5-S7iM1dfejx217JcS8xdUz4jMMX1bXjBaHvUeFfA.HOWxaJWp5X1YFZOsTFFR_4XoTqWr0vVU0ZhMHO4i9z4&dib_tag=se&keywords=9780439049986&qid=1762701636&sr=8-1,2023-03-07,Scholastic Inc.,4.8,"6 - 8 years, from customers",5.75,0.75,8.5,,SUCCESS
9780307261052,"I Like Stars (Step-Into-Reading, Step 1)",0307261050,Margaret Wise Brown,In Stock,"#340,533 in Books (See Top 100 in Books)   #1,068 in Stories in Verse  #1,152 in Early Learning Beginner Readers  #4,189 in Children's Beginner Readers",4.2,I like stars. Blue stars. Far stars. Shooting stars. I like stars!,,,9780307261052,9780307261052,73.99,English,215,Step into Reading,6.,32,https://www.amazon.com/Like-Stars-Step-Into-Reading-Step/dp/0307261050/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.N1hnjBdYTBVuxP6qpTjFZA.4NQY1WXVlJ2A1TxxrogRZ6sqPtpvWdeMj_krHSRPD3s&dib_tag=se&keywords=9780307261052&qid=1762701656&sr=8-1,1998-07-15,Random House Books for Young Readers,4.2,"2 - 5 years, from customers",9.12,6.04,0.1,,SUCCESS
978981495800,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
9780439559638,Lost Treasure of the Emerald Eye,,Geronimo Stilton,In Stock,"#23,636 in Books (See Top 100 in Books)   #52 in Children's Mouse, Hamster, Guinea Pig & Squirrel Books  #395 in Children's Chapter Books (Books)  #579 in Children's Action & Adventure Books (Books)",4.5,"Re-enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love",,,0439559634,9780439559638,1047.8,English,2224,Geronimo Stilton,7.,128,https://www.amazon.com/Lost-Treasure-Emerald-Geronimo-Stilton/dp/0439559634/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.217rbyJGi9PYb0SkXZpMPw.Z1T5hMC9JhczHQNsx1gD6GC7ajMe06kPOjsDQGRzaxM&dib_tag=se&keywords=9780439559638&qid=1762701686&sr=8-1,2004-02-01,Scholastic,4.5,"6 - 9 years, from customers",5.0,0.25,7.25,,SUCCESS
9780746091128,Noisy Wind-up Fire Engine,,Sam Taplin,In Stock,"#108,734 in Books (See Top 100 in Books)   #4,473 in Children's Activity Books (Books)  #7,499 in Children's Literature (Books)",4.7,"This book includes three fire-engine stories with a twist! Each story has a sturdy track embedded in the pages which the accompanying wind-up fire engine toy can then be placed upon to follow around and bring the story to life. This lovely big board book is perfect for sharing with small children, who love the excitement and sounds of a speedy fire engine. Children can press the button to hear the nee-naw noise just like a real fire engine. It is a fantastic gift, which is guaranteed to engage and entertain young children.",,,0746091125,9780746091128,294.83,English,159,,49.,14,https://www.amazon.com/Noisy-Wind-up-Fire-Engine/dp/0746091125/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.tQfu7FM09RjsWfE0HAgZIt8ORtMubN8z5MbwJP-cHlM.BlqJ3NpUWcboIDXRRJBYszHAMhwbeYDLunAg-b0iJlE&dib_tag=se&keywords=9780746091128&qid=1762701701&sr=8-1,2008-09-26,Usborne Publishing Ltd,4.7,,9.49,1.81,12.17,,SUCCESS
9789888138975,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
9789888138845,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
9780007371082,Billionaire Boy,000737108X,David Walliams,Only 1 left in stock - order soon.,"#227,668 in Books (See Top 100 in Books)   #162 in Russian & Soviet Literature (Books)  #2,008 in Children's Action & Adventure Books (Books)",4.5,"A hilarious, touching and extraordinary new fable from the author of The Boy in the Dress and Mr Stink. Joe has a lot of reasons to be happy. About a billion of them, in fact. You see, Joe's rich. Really, really rich. Joe's got his own bowling alley, his own cinema, even his own butler who is also an orangutan. He's the wealthiest twelve-year-old in the land. Yes, Joe has absolutely everything he could possibly want. But there's just one thing he really needs: a friend!",,,9780007371082,9780007371082,430.91,English,10593,,11.,240,https://www.amazon.com/Billionaire-Boy-David-Walliams/dp/000737108X/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.kGx9l382GIXa9laSdJJGSOLGoSYJqwIBKLUuYK-2VoU.edX32-T9bVJuyFs40NXmXVLu4OfYyeuqelGxoLcv29c&dib_tag=se&keywords=9780007371082&qid=1762706338&sr=8-1,2011-01-01,HarperCollins Children's Books,4.5,9 - 12 years,5.08,1.02,7.8,,SUCCESS
9780064450836,My Five Senses (Let's-Read-and-Find-Out Science 1),,Aliki,In Stock,"#270,946 in Books (See Top 100 in Books)   #29 in Children's Anatomy Books  #64 in Children's Earth Sciences Books (Books)  #327 in Children's Biology Books (Books)",4.8,Read and find out about your five senses in this colorfully illustrated nonfiction picture book.,Revised,,0062381911,9780062381910,340.19,English,1242,Let's-Read-and-Find-Out Science 1,14.,32,https://www.amazon.com/Five-Senses-Lets-Read-Find-Out-Science/dp/0062381911/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.lEjzsRPTCKfxUfdNnTqQ9A.7QfD0lf3a0Q4Cyz-zMkVJoTluDExbqLLL7GqMd8fiOQ&dib_tag=se&keywords=9780064450836&qid=1762706357&sr=8-1,2015-08-04,HarperCollins,4.8,"2 - 5 years, from customers",10.0,0.38,8.0,,SUCCESS
794764010916,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
794764010930,,,,,,,,,,,,,,,,,,,,,,,,,,No search results found,FAILED
9780140563788,From Head to Toe,,Eric Carle,In Stock,"#2,808 in Books (See Top 100 in Books)   #3 in Children's Books on the Body  #18 in Children's Sense & Sensation Books  #38 in Poetry for Early Learning",4.8,"From Eric Carle, the",Brdbk,,0694013013,9780694013012,226.8,English,6823,,7.,28,https://www.amazon.com/Head-Toe-Board-Book/dp/0694013013/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.L2KTp9WzPk9LltvxO-kNbQ.9fF89zkNNnBIbOc1Hd6c_h95PjoKovf01pyYXnl7_qs&dib_tag=se&keywords=9780140563788&qid=1762706396&sr=8-1,1999-03-27,HarperCollins,4.8,"1 - 3 years, from customers",4.75,0.5,7.0,,SUCCESS
9780140926521,Roald Dahl 15 Book Box Set,,Roald Dahl,Only 1 left in stock - order soon.,"#345,753 in Books (See Top 100 in Books)",4.7,"Roald Dahl's stories continue to delight, excite, shock, entertain and please generation after generation of children. This 15 book box set includes: The BFG, Matilda, Esio Trot, George's Marvellous Medicine, Charlie and the Chocolate Factory, Fantastic Mr Fox, Charlie and the Great Glass Elevator, The Magic Finger, Danny the Champion of the World, The Twits, The Witches, Going Solo, The Giraffe and the Pelly and me, James and the Giant Peach, and Boy Tales of Childhood. Paperbacks. Illustrations by Quentin Blake.",First Edition,,0140926526,9780140926521,2381.36,English,1664,,59.,,https://www.amazon.com/Roald-Dahl-Book-Box-Set/dp/0140926526/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.L4g4h7ciEmHl6s6xswnl9iXbmCvLQr5zG7-gMpV9ROs.QKg-N7gWghvORDSmNwN-qJBaGVHN-Vw1FBXlpVh5eI8&dib_tag=se&keywords=9780140926521&qid=1762706416&sr=8-1,1997-01-01,Penguin Group,4.7,"7 - 11 years, from customers",4.92,0.59,8.27,,SUCCESS
9780141324906,Diary of a Wimpy Kid: The hilarious first book in the #1 international bestselling series about surviving middle school (Book 1) (Volume 1),B0051XV5Y6,Jeff Kinney,In Stock,"#1,155 in Books (See Top 100 in Books)   #2 in Children's Books on Boys' & Men's Issues  #8 in Children's Friendship Books  #34 in Children's School Issues",4.6,Middle school is a survival game. Greg Heffley’s just trying not to lose.,Illustrated,,1419741853,9781419741852,391.22,English,30784,,7.,224,https://www.amazon.com/Diary-of-a-Wimpy-Kid/dp/B0051XV5Y6/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.mPzSyaJT0Ph_ZyDJWK3BBA.0GfUGP1GkxgsX68lJs5Pb1dXdog9vcUanRsKtpXFhv8&dib_tag=se&keywords=9780141324906&qid=1762706434&sr=8-1,2007-04-01,Amulet Books,4.6,"7+ years, from customers",5.5,0.95,8.0,,SUCCESS
9780141324913,Rodrick Rules: A hilariously awkward sibling showdown from the #1 international bestselling Diary of a Wimpy Kid series (Book 2),B002M3SOZG,Jeff Kinney,In Stock,"#2,166 in Books (See Top 100 in Books)   #10 in Children's Humor  #23 in Children's Siblings Books (Books)  #69 in Children's Comics & Graphic Novels (Books)",4.7,Some secrets are meant to stay buried—too bad Greg records everything in his diary.,Illustrated,,1419741861,9781419741869,391.22,English,23211,,5.,224,https://www.amazon.com/Rodrick-Rules/dp/B002M3SOZG/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.Ye3Qtzv1xF0lLc6StqRUIISJ4gFZ1vzANRgNL7fP79U.gLwg9JkH7C3ZxwDX7fj4D14P9_11YH7M6rHABGpF64w&dib_tag=se&keywords=9780141324913&qid=1762706454&sr=8-1,2008-02-01,Amulet Books,4.7,"7 - 11 years, from customers",5.5,1.0,8.0,,SUCCESS
9780141331973,Dog Days (Diary of a Wimpy Kid #4) (Volume 4),B0030H0XSO,Jeff Kinney,In Stock,"#2,800 in Books (See Top 100 in Books)   #11 in Children's Friendship Books  #94 in Children's School Issues  #121 in Children's Humorous Comics & Graphic Novels",4.9,In,Illustrated,,1419741888,9781419741883,391.22,English,3963,,5.,224,https://www.amazon.com/Dog-Days/dp/B0030H0XSO/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.sYxoseDvmV3c-lPd4B7FyoSJ4gFZ1vzANRgNL7fP79U.0o1O0RIoTQlshzzuGps1WM3zpPNMGHphUmqwnPzpsnk&dib_tag=se&keywords=9780141331973&qid=1762706474&sr=8-1,2009-10-12,Amulet Books,4.9,"7 - 11 years, from customers",5.5,1.0,8.0,,SUCCESS
9780142410318,Charlie and the Chocolate Factory,,Roald Dahl,,"#1,445 in Books (See Top 100 in Books)   #31 in Children's Humor  #75 in Children's Classics  #135 in Children's Action & Adventure Books (Books)",4.7,From the author of,Reprint,,0142410314,9780142410318,136.08,English,21572,,5.,192,https://www.amazon.com/Charlie-Chocolate-Factory-Roald-Dahl/dp/0142410314/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.FDkkTb_aX4DdhXbQ7sMKVQ.-YhyYNvNRNiTUxVa6mmqZdKifNKBEcXxTjtgGE-mlXk&dib_tag=se&keywords=9780142410318&qid=1762706493&sr=8-1,2007-08-16,Viking Books for Young Readers,4.7,"6+ years, from customers",5.13,0.52,7.69,,SUCCESS
9780230736108,The Tyrannosaurus Drip Song,,Julia Donaldson,Only 1 left in stock - order soon.,,3.4,"When a timid little duckbill dinosaur hatches out in a T rex nest he feels decidedly out of place. Poor little Drip: all he wants is a quiet life munching on waterweed . . . But his grisly big sisters are about to discover that Drip is braver than he looks!Including music and lyrics, this fantastic Jurassic adventure is perfect for any child who can't wait to spend their World Book Day voucher. Now everyone can sing along!",World Book Day Ed,,0230736106,9780230736108,100.07,English,8,,5.,16,https://www.amazon.com/Tyrannosaurus-Drip-Song-World-Book/dp/0230736106/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.HA_wKkjNHJA6GJIye62yQg.Jkj4QJQzHGuaNKhQ1NJTpmXuPa7KXqKYmYHRG1deILY&dib_tag=se&keywords=9780230736108&qid=1762706512&sr=8-1,2009-02-01,Macmillan Children's Books,3.4,2 - 6 years,5.71,0.04,7.09,,SUCCESS
9780241003008,The Very Hungry Caterpillar (Rise and Shine),,Eric Carle,In Stock,#461 in Books (See Top 100 in Books)   #1 in Children's Classics  #1 in Children's Bug & Spider Books (Books)  #1 in Children's Counting Books,4.9,THE ICONIC #1 BESTSELLER • The all-time classic picture book starring the world’s favorite caterpillar! Generations of children have grown up on this beautifully dramatized story of a caterpillar who eats his way to becoming a butterfly.One of,Revised Edition,,0399208534,9780399208539,476.27,English,77876,The Very Hungry Caterpillar,10.,32,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399208534/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.vFLldFUBEKecTV0MBhvz0BgOzaEOuPc5Csk8FQqaD_M.q7Wkg_6vQW-JtuSt9RyXHA7rOIcADu7iJ4_jcCYu6Es&dib_tag=se&keywords=9780241003008&qid=1762706529&sr=8-1,1981-10-15,World of Eric Carle,4.9,"1+ years, from customers",12.13,0.45,8.56,,SUCCESS
9780307261052,"I Like Stars (Step-Into-Reading, Step 1)",0307261050,Margaret Wise Brown,In Stock,"#340,532 in Books (See Top 100 in Books)   #1,068 in Stories in Verse  #1,157 in Early Learning Beginner Readers  #4,194 in Children's Beginner Readers",4.2,I like stars. Blue stars. Far stars. Shooting stars. I like stars!,,,9780307261052,9780307261052,73.99,English,215,Step into Reading,6.,32,https://www.amazon.com/Like-Stars-Step-Into-Reading-Step/dp/0307261050/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.N1hnjBdYTBVuxP6qpTjFZA.JHe46zIUyryRjQdMk96M-mZrXG11npP6LDLi62ypDJk&dib_tag=se&keywords=9780307261052&qid=1762706549&sr=8-1,1998-07-15,Random House Books for Young Readers,4.2,"2 - 5 years, from customers",9.12,6.04,0.1,,SUCCESS
9780307261076,"I Like Bugs (Step-Into-Reading, Step 1)",,Margaret Wise Brown,In Stock,"#13,578 in Books (See Top 100 in Books)   #54 in Children's Bug & Spider Books (Books)  #142 in Early Learning Beginner Readers  #423 in Children's Beginner Readers",4.8,"This classic Step 1 Step into Reading all about insects, by the author of the beloved classic","Step-Into-Reading, Step 1",,0307261077,9780307261076,68.04,English,1347,Step into Reading,6.,32,https://www.amazon.com/Like-Bugs-Step-Into-Reading-Step/dp/0307261077/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9._k8BsuQ33rOb7xPMvtq0gAe_VpjGpa8qCLSvk28gggrGjHj071QN20LucGBJIEps.Dbcs5l2Ge-kXvAvN39SL_BWHf-ytBxp3Q64rZvEUd68&dib_tag=se&keywords=9780307261076&qid=1762706568&sr=8-1,1999-06-15,Random House Books for Young Readers,4.8,"3 - 6 years, from customers",6.0,0.11,9.0,,SUCCESS
9780307261137,"Bear Hugs (Step-Into-Reading, Step 1)",,Alyssa Satin Capucilli,Only 13 left in stock - order soon.,"#905,498 in Books (See Top 100 in Books)   #1,551 in Children's Bear Books (Books)  #1,885 in Early Learning Beginner Readers  #6,178 in Children's Beginner Readers",4.6,"Baby Bear asks his parents for all kinds of hugs—wet hugs, dry hugs, fly up to the sky hugs—in search of the best hug of all. The Step into Reading series entices brand-new readers with rhyme, rhythm, and repetition. The type is big, the words are easy, and the art is bright and bold.",Illustrated,,0307261131,9780307261137,73.99,English,50,Step into Reading,5.,32,https://www.amazon.com/Bear-Hugs-Step-Into-Reading-Step-1/dp/0307261131/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.JmkyPRx963kF-k86JtHbnQ.oAvC5cHcpzj9mBawF4qNcSimL-7FBJJETbgTQpudYA0&dib_tag=se&keywords=9780307261137&qid=1762706587&sr=8-1,2000-09-01,Random House Books for Young Readers,4.6,4 - 6 years,9.0,5.9,0.2,,SUCCESS
9780375803116,Elmo Says Achoo! (Sesame Street) (Step into Reading),B006V3E1V4,Sarah Albee,,"#326,631 in Kindle Store (See Top 100 in Kindle Store)   #141 in Baby & Toddler Beginner Readers Books  #587 in Stories in Verse  #618 in Children's Beginner Readers Books",4.3,"Elmo's bringing a present to Oscar. But the mysterious wrapped gift has a curious effect--it's making Elmo sneeze! And every time Elmo sneezes, something funny happens. The youngest readers will love following along as Elmo's sneezes cause laundry to fall off a line and much more in this Early Step into Reading™ story.",,,,9780307977915,,English,250,Step into Reading,3.,32,https://www.amazon.com/Elmo-Achoo-Sesame-Street-Reading-ebook/dp/B006V3E1V4/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.Oph4ugBPv8EhuFstxdvVDg.mQhafUMmfGwItYCjpkXkpisNDsMLd9SMIxfxzZG6aOI&dib_tag=se&keywords=9780375803116&qid=1762706606&sr=8-1,2012-01-25,Random House Books for Young Readers,4.3,"1 - 3 years, from customers",,,,,SUCCESS
9780375812309,"Happy Alphabet! A Phonics Reader (Step-Into-Reading, Step 1)",037581230X,Anna Jane Hays,Only 1 left in stock - order soon.,"#529,889 in Books (See Top 100 in Books)   #1,288 in Poetry for Early Learning  #1,577 in Early Learning Beginner Readers  #5,309 in Children's Beginner Readers",4.9,This Step 1 Phonics Reader can help start your child on the road to reading success!,Illustrated,,9780375812309,9780375812309,83.91,English,18,,4.,32,https://www.amazon.com/Happy-Alphabet-Phonics-Reader-Step-Into-Reading/dp/037581230X/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.1ornhuEXOmvHiftufNDqPA.GLibILbRlnw8sSYwvgLBycQxfNnqKrpwpxlwqO00GJ0&dib_tag=se&keywords=9780375812309&qid=1762706625&sr=8-1,2002-01-22,Random House Books for Young Readers,4.9,4 - 6 years,6.0,0.16,9.0,,SUCCESS
9780375812484,Jack and Jill and Big Dog Bill: A Phonics Reader (Step Into Reading),,Martha Weston,In Stock,"#391,275 in Books (See Top 100 in Books)   #1,333 in Early Learning Beginner Readers  #2,699 in Children's Dog Books (Books)  #4,542 in Children's Beginner Readers",4.6,This wintry Step 1 Phonics Reader can start your child on the road to reading success!,unknown,,0375812482,9780375812484,73.99,English,179,,5.,32,https://www.amazon.com/Jack-Jill-Big-Dog-Bill/dp/0375812482/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.mF5KIZXooYvd0Y4kI0zftw.-FgCNwZFHIPbk9rWQR8dIEKPmQ8aLbiI4i1AJDIFEvs&dib_tag=se&keywords=9780375812484&qid=1762706643&sr=8-1,2002-01-22,Random House Books for Young Readers,4.6,"2 - 6 years, from customers",6.06,0.14,9.0,,SUCCESS
9780375821790,Little Witch Learns to Read: A Little Witch Book (Step into Reading),,Deborah Hautzig,In Stock,"#189,383 in Books (See Top 100 in Books)   #1,132 in Children's Halloween Books (Books)  #2,036 in Children's School Issues  #3,013 in Children's Beginner Readers",4.8,"Guess who’s learning to read? Little Witch is—and she loves it. But Mother Witch won’t allow nice books about princesses and princes in the house! Little Witch resorts to using invisibility spells and staying up late to read, but it’s starting to wear her out. When the Witch family finally discovers Little Witch’s secret reading habit, she has one last trick to change their minds about books!",1st,,0375821791,9780375821790,119.07,English,131,Step into Reading,6.,48,https://www.amazon.com/Little-Witch-Learns-Read-Reading/dp/0375821791/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.tSIyWTBgk8MmtvUp1PaV5Q.jLPeKN3JDq6NNQM290D00NcP3tlBMHjajjLx1uESp0E&dib_tag=se&keywords=9780375821790&qid=1762706662&sr=8-1,2003-09-23,Random House Books for Young Readers,4.8,5 - 8 years,6.0,0.14,9.0,,SUCCESS
9780375825330,"Hungry Plants (Step-into-Reading, Step 4)",,Mary Batten,,"#12,935 in Books (See Top 100 in Books)   #14 in Children's Flower & Plant Books (Books)  #74 in Children's Intermediate Readers  #400 in Children's Beginner Readers",4.8,"This book offers readers a bug’s-eye view into the strange and fascinating world of carnivorous plants. From the “jaws” of the Venus flytrap to the pretty sundew plant whose delicate tentacles entrap its prey, the unique anatomy and behaviors of meat-eating plants are detailed with clear, engaging text and art.","Step-into-Reading, Step 4",,0375825339,9780375825330,102.06,English,1553,Step into Reading,4.,48,https://www.amazon.com/Hungry-Plants-Step-into-Reading-Step-4/dp/0375825339/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.g6R3g3MvLq6JWw6BMGBPssaQfyQ_pvmNG5vfOwL1EZ4.XVtwwktnduCCPdPIXmzgnuoDMW0O2I4OMtUX2BOPSNg&dib_tag=se&keywords=9780375825330&qid=1762706681&sr=8-1,2004-02-24,Random House Books for Young Readers,4.8,"5 - 8 years, from customers",6.0,0.18,9.0,,SUCCESS
9780375828928,Thomas Comes to Breakfast (Thomas & Friends) (Step into Reading),,Rev. W. Awdry,Only 5 left in stock - order soon.,"#422,947 in Books (See Top 100 in Books)   #2,359 in Children's Transportation Books (Books)  #4,692 in Children's Books on Emotions & Feelings (Books)  #18,695 in Children's Literature (Books)",4.7,"Thomas is convinced that he can drive himself! When he heads off on his own, he learns that stopping can be harder than starting. This classic story, originally by the Reverend W Awdry, has been adapted to appeal to the reader who is just beginning to read. Includes fun language building activities.",Illustrated,,0375828923,9780375828928,68.04,English,140,Step into Reading,7.,32,https://www.amazon.com/Thomas-Comes-Breakfast-Friends-Reading/dp/0375828923/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.klOYeyLM_j50sbUkSKhjaDPoVLEsiOKwYO4G6gkUIcU.ush2Xficc9h2GeHW0RGczYkUpCVJSYYZj9Jo6XRvtZM&dib_tag=se&keywords=9780375828928&qid=1762706701&sr=8-1,2004-06-22,Random House Books for Young Readers,4.7,4 - 6 years,6.0,0.14,9.0,,SUCCESS
9780375829734,Arthur Lost in the Museum (Step into Reading),,Marc Brown,,"#53,525 in Books (See Top 100 in Books)   #302 in Children's American Historical Fiction (Books)  #843 in Children's School Issues  #1,310 in Children's Beginner Readers",4.7,"During a class visit to the museum, Arthur needs to make a quick visit to the boys’ lavatory. But a wrong turn leads him into a diorama of life-size models of Pilgrims celebrating the first Thanksgiving . . . just as Mr. Ratburn and his class are about to study it. Will Arthur be in big trouble?",STK,,0375829733,9780375829734,209.79,English,271,Step into Reading,4.,24,https://www.amazon.com/Arthur-Lost-Museum-Step-Reading/dp/0375829733/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.xiEni-xnTdwWdAtA1Moce28OF_BGvv3O7cnCAEBHX7I.WslPp3-6NL9jKS9qsUoFDxCuZsBGfWXB2bGr93ywRKA&dib_tag=se&keywords=9780375829734&qid=1762706719&sr=8-1,2005-07-12,Random House Books for Young Readers,4.7,5 - 8 years,6.0,0.13,9.0,,SUCCESS
9780375831188,Thomas Goes Fishing (Thomas & Friends) (Step into Reading),,Rev. W. Awdry,,"#201,077 in Books (See Top 100 in Books)   #249 in Children's Trains Books (Books)  #882 in Early Learning Beginner Readers  #2,937 in Children's Beginner Readers",4.7,"Thomas often sees his young friends standing by the stream fishing. It looks like so much fun that Thomas wants to go fishing too. One day, he runs out of steam and his driver fills his boiler from the stream. And soon, Thomas’ boiler is what the driver is fishing in! In the early 1940s, a loving father crafted a small, blue, wooden engine for his son, Christopher. The stories that this father, the Reverend W Awdry, made up to accompany this wonderful toy were first published in 1945.",,,0375831185,9780375831188,68.04,English,351,Step into Reading,6.,32,https://www.amazon.com/Thomas-Goes-Fishing-Friends-Reading/dp/0375831185/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.pWQIiJMoQuCWUOZ0RyGy-uPojxf2GwyxUdqhLsgbjWM.6mtP8hx_J36bBt5z4JTnIiP_5MzZ6agFaNUwk3o1nFQ&dib_tag=se&keywords=9780375831188&qid=1762706738&sr=8-1,2005-05-10,Random House Books for Young Readers,4.7,4 - 6 years,6.0,0.13,9.0,,SUCCESS
9780375831652,Hog and Dog (Step into Reading),,Diane Wright Landolf,,"#496,177 in Books (See Top 100 in Books)   #1,525 in Early Learning Beginner Readers  #5,140 in Children's Beginner Readers  #8,843 in Children's Friendship Books",4.3,Hog and Dogplay tag.Hog zigs.Dog zags.,Illustrated,,0375831657,9780375831652,72.86,English,8,,4.,32,https://www.amazon.com/Hog-Dog-Step-into-Reading/dp/0375831657/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.Uo3ndHtdlvaX3zgp-PLpbw.0lZO9HI6RutuF6WiMK7i1j5RY1llhF0kL9wuv6zlcJs&dib_tag=se&keywords=9780375831652&qid=1762706756&sr=8-1,2005-11-22,Random House Books for Young Readers,4.3,4 - 6 years,6.0,0.13,9.0,,SUCCESS
9780375832413,Dancing Dinos Go to School (Step into Reading),,Sally Lucas,In Stock,"#25,510 in Books (See Top 100 in Books)   #184 in Children's Dinosaur Books (Books)  #223 in Early Learning Beginner Readers  #748 in Children's Beginner Readers",4.8,"The dancing dinos are back, and this time they are taking over the classroom in this fun, rhyming Step 1 reader that is perfect for back to school!",Illustrated,,0375832416,9780375832413,73.99,English,3810,Step into Reading,5.,32,https://www.amazon.com/Dancing-Dinos-School-Step-Reading/dp/0375832416/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9._veeLJ1vKc57ygYcRqA6fPNx3Tvy8ojKEx9bw7ID7IY._S9llUTE53GnQohd7BB-_eYym4HaL11EbV3lTgulrGo&dib_tag=se&keywords=9780375832413&qid=1762706773&sr=8-1,2006-07-11,Random House Books for Young Readers,4.8,"3 - 6 years, from customers",6.0,0.11,9.0,,SUCCESS
9780375834219,Mary Clare Likes to Share: A Math Reader (Step into Reading),,Joy N. Hulme,Temporarily out of stock.  Order now and we'll deliver when available.       Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.     Details,"#1,358,190 in Books (See Top 100 in Books)   #1,571 in Children's Counting Books  #2,968 in Early Learning Beginner Readers  #8,887 in Children's Beginner Readers",4.8,"This Step 2 Math Reader features friendship, sharing, and lots of treats!",Illustrated,,0375834214,9780375834219,85.05,English,32,Step into Reading,6.,32,https://www.amazon.com/Mary-Clare-Likes-Share-Reading/dp/0375834214/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.9P6BtzXXwckH22co_Wwf3w.UdOcfoAV8avBc5XpFD8smybMKzgNyLemEaZcyFTgXkM&dib_tag=se&keywords=9780375834219&qid=1762706793&sr=8-1,2006-10-24,Random House Books for Young Readers,4.8,4 - 6 years,6.06,0.14,9.06,,SUCCESS
9780375834486,Tae Kwon Do! (Step into Reading),,Terry Pierce,,"#87,327 in Books (See Top 100 in Books)   #38 in Children's Martial Arts Books (Books)  #514 in Early Learning Beginner Readers  #1,857 in Children's Beginner Readers",4.7,"We’re off to Tae Kwon Do class, where we’ll learn to kick, spin, box, jump, and even break a board! We’ll also have fun in this simple Step 1 book. Perfect for kids who are both learning to read and learning Tae Kwon Do or another martial art.",Illustrated,,0375834486,9780375834486,81.93,English,402,,8.,32,https://www.amazon.com/Tae-Kwon-Step-into-Reading/dp/0375834486/ref=sr_1_1?currency=HKD&dib=eyJ2IjoiMSJ9.XtwrU9PqinCFu-vphJDvQA.9FoV6H-W_FdIo7Gy08IM0_aEKqWiLFd00SMP1w1sAMw&dib_tag=se&keywords=9780375834486&qid=1762706811&sr=8-1,2006-04-25,Random House Books for Young Readers,4.7,"3 - 6 years, from customers",6.0,0.13,9.0,,SUCCESS
